epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6794.15,1.01843,0.64473,1.01792,0.81526,0.72936,0.79124,0.56075,0.89807,0.56446,0.99423,0.007492,0.007492,0.007492
78,6882.51,1.01727,0.64255,1.01791,0.7996,0.73112,0.79041,0.56133,0.89755,0.56371,0.99408,0.007459,0.007459,0.007459
79,6970.64,1.016,0.64292,1.01561,0.80327,0.72929,0.79001,0.56022,0.89626,0.56263,0.99325,0.007426,0.007426,0.007426
80,7058.37,1.00675,0.63654,1.01239,0.82309,0.72444,0.79061,0.56065,0.89552,0.56236,0.9934,0.007393,0.007393,0.007393
81,7146.29,1.01272,0.64004,1.01493,0.82341,0.72494,0.7915,0.5632,0.89352,0.56059,0.99259,0.00736,0.00736,0.00736
82,7234.32,1.00868,0.637,1.01161,0.81709,0.73085,0.79057,0.563,0.89224,0.5597,0.99188,0.007327,0.007327,0.007327
83,7321.66,1.00654,0.6327,1.0092,0.83761,0.72835,0.79235,0.56378,0.89157,0.5588,0.9917,0.007294,0.007294,0.007294
84,7409.96,1.00346,0.63326,1.0111,0.84377,0.72584,0.79488,0.56551,0.89112,0.55712,0.99108,0.007261,0.007261,0.007261
85,7498.3,1.00377,0.63024,1.00996,0.83002,0.72573,0.79411,0.56717,0.88956,0.55632,0.99039,0.007228,0.007228,0.007228
86,7586.52,0.99798,0.62723,1.00743,0.83246,0.72721,0.79592,0.5677,0.88839,0.55533,0.98965,0.007195,0.007195,0.007195
87,7674.65,0.99993,0.63102,1.0098,0.81953,0.73632,0.79792,0.56843,0.8869,0.55425,0.98891,0.007162,0.007162,0.007162
88,7762.77,0.99995,0.62736,1.00477,0.83949,0.73141,0.79971,0.56853,0.8862,0.55358,0.98851,0.007129,0.007129,0.007129
89,7850.69,0.99418,0.62399,1.00521,0.85749,0.72629,0.80149,0.56838,0.88474,0.55243,0.98814,0.007096,0.007096,0.007096
90,7938.88,0.99123,0.6195,1.00071,0.84243,0.73324,0.80048,0.569,0.88315,0.55163,0.98747,0.007063,0.007063,0.007063
91,8027.08,0.99104,0.61955,1.00291,0.83891,0.73226,0.80093,0.56942,0.88255,0.551,0.98723,0.00703,0.00703,0.00703
92,8115.21,0.99335,0.62132,1.00501,0.84084,0.73057,0.8017,0.57148,0.88179,0.55023,0.98694,0.006997,0.006997,0.006997
93,8203.37,0.98852,0.61561,1.00099,0.82737,0.73926,0.80368,0.57286,0.88065,0.54913,0.98638,0.006964,0.006964,0.006964
94,8291.38,0.98486,0.61548,0.99987,0.84059,0.73568,0.80397,0.5751,0.87939,0.54832,0.98568,0.006931,0.006931,0.006931
95,8378.56,0.98272,0.61246,1.00001,0.82593,0.74121,0.80468,0.57486,0.87904,0.5477,0.98573,0.006898,0.006898,0.006898
96,8465.95,0.98469,0.61673,1.00032,0.82968,0.74372,0.80558,0.57528,0.87907,0.54712,0.98557,0.006865,0.006865,0.006865
97,8553.82,0.9849,0.61527,1.00051,0.83047,0.7454,0.80801,0.57692,0.87829,0.54655,0.98526,0.006832,0.006832,0.006832
98,8642,0.98272,0.61262,0.99799,0.83133,0.74523,0.80689,0.57731,0.87808,0.54576,0.985,0.006799,0.006799,0.006799
99,8730.13,0.9786,0.60896,0.99608,0.83799,0.74616,0.80703,0.5774,0.87743,0.54532,0.9848,0.006766,0.006766,0.006766
100,8818.37,0.97712,0.60901,0.99372,0.81963,0.75129,0.80606,0.5784,0.87698,0.54469,0.98448,0.006733,0.006733,0.006733
101,8906.73,0.97368,0.60642,0.99294,0.81876,0.74836,0.80581,0.57833,0.8761,0.54385,0.9841,0.0067,0.0067,0.0067
102,8994.13,0.9733,0.6051,0.99378,0.84692,0.73994,0.80661,0.57921,0.87548,0.54358,0.98381,0.006667,0.006667,0.006667
103,9082.26,0.97312,0.60361,0.9934,0.84476,0.73659,0.80746,0.58053,0.87513,0.54301,0.98372,0.006634,0.006634,0.006634
104,9170.34,0.97036,0.60464,0.99087,0.84392,0.73893,0.80752,0.57973,0.87464,0.54267,0.98332,0.006601,0.006601,0.006601
105,9257.92,0.96859,0.60105,0.98971,0.83717,0.74166,0.80657,0.58019,0.87402,0.54205,0.98298,0.006568,0.006568,0.006568
106,9345.41,0.96361,0.5985,0.99181,0.84413,0.74001,0.80723,0.58008,0.87324,0.54145,0.98255,0.006535,0.006535,0.006535
107,9432.99,0.96523,0.59854,0.99009,0.83958,0.73913,0.80678,0.58099,0.87257,0.54102,0.98225,0.006502,0.006502,0.006502
108,9521.11,0.96197,0.5969,0.9877,0.837,0.73941,0.80631,0.58107,0.87186,0.5405,0.98186,0.006469,0.006469,0.006469
109,9608.83,0.96443,0.59708,0.98949,0.82852,0.74512,0.8075,0.58127,0.87152,0.53997,0.98166,0.006436,0.006436,0.006436
110,9696.64,0.95974,0.59477,0.98823,0.8245,0.74774,0.80741,0.58171,0.87097,0.53955,0.98134,0.006403,0.006403,0.006403
111,9784.72,0.95849,0.59417,0.98611,0.81997,0.74781,0.80736,0.58157,0.87029,0.53917,0.98095,0.00637,0.00637,0.00637
112,9872.35,0.95652,0.59143,0.98491,0.82435,0.74869,0.80802,0.58156,0.87009,0.53894,0.98094,0.006337,0.006337,0.006337
113,9959.83,0.95553,0.58874,0.98725,0.82204,0.74944,0.80885,0.58175,0.86984,0.53845,0.98081,0.006304,0.006304,0.006304
114,10048,0.95304,0.58937,0.98562,0.82502,0.75049,0.809,0.58149,0.86974,0.53796,0.98073,0.006271,0.006271,0.006271
115,10135.5,0.95297,0.58724,0.98318,0.82539,0.75173,0.80915,0.58212,0.86918,0.5372,0.9805,0.006238,0.006238,0.006238
116,10223.8,0.94901,0.5874,0.98091,0.82741,0.75149,0.80937,0.58184,0.8687,0.5368,0.98024,0.006205,0.006205,0.006205
117,10311,0.94779,0.58745,0.98036,0.83046,0.74926,0.8093,0.58245,0.86814,0.53643,0.98003,0.006172,0.006172,0.006172
118,10399,0.94274,0.58339,0.98104,0.83343,0.75376,0.81169,0.58288,0.86768,0.53607,0.97985,0.006139,0.006139,0.006139
119,10487.1,0.94299,0.58067,0.97941,0.83135,0.75462,0.81162,0.58324,0.86736,0.53547,0.97958,0.006106,0.006106,0.006106
